gender,email,phone,cell,nat,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,login.uuid,login.username,login.password,login.salt,login.md5,login.sha1,login.sha256,dob.date,dob.age,registered.date,registered.age,id.name,id.value,picture.large,picture.medium,picture.thumbnail
male,noah.cote@example.com,U88 L52-2719,B33 K67-1013,CA,Mr,Noah,Côté,7991,Stanley Way,Oakville,Québec,Canada,M3N 1D4,-64.6504,-92.614,#VALUE!,Tehran,b39cdacd-025d-4fc8-9f36-eba8ced7934c,bluegorilla934,xiong,bhv17WHL,e25655e1814cfd9561f5dba69bc2b530,d71d4a80b18995a4e154ab194217c9ae4fe8545c,b4a90dea9f5387135f52811b57e5280fc2af0fef0ca340a71f6a846177e4cc73,1986-06-21T01:09:23.487Z,39,2015-01-13T01:30:21.727Z,11,SIN,708171095,https://randomuser.me/api/portraits/men/56.jpg,https://randomuser.me/api/portraits/med/men/56.jpg,https://randomuser.me/api/portraits/thumb/men/56.jpg
female,alma.pedersen@example.com,07895843,58045893,DK,Mrs,Alma,Pedersen,4036,Agervej,Haslev,Nordjylland,Denmark,28461,-55.9334,154.2058,-11:00,"Midway Island, Samoa",0566ab21-1574-45f4-a472-f17d3f0087fa,crazyladybug578,freckles,dTFnUyvD,de284a31f43ad0ddc9dd0b5500d747d6,b80ea1d926568cf4b618390d30b6141229f3797b,da2ed13fa2ddc0327c518869ad06dad1801afe8c1aa21b231fb4a9a10abe660e,1963-07-16T12:27:36.308Z,62,2012-11-15T16:56:13.203Z,13,CPR,160763-6052,https://randomuser.me/api/portraits/women/49.jpg,https://randomuser.me/api/portraits/med/women/49.jpg,https://randomuser.me/api/portraits/thumb/women/49.jpg
male,mikkel.christiansen@example.com,77624279,26342247,DK,Mr,Mikkel,Christiansen,9438,Fsn Karup,Samsø,Sjælland,Denmark,94093,35.7171,155.8488,#VALUE!,"Adelaide, Darwin",9aabcbb0-30e7-4acf-9bfb-7b000407d174,silverostrich195,leonard,VxJJ1k9l,e1d0ab9633879a5a14471e0438906c28,1ff810c5e558ebf84d00406fc1f257d46c3052f2,1ee525daaa49e1bc351a29997e5420b9e60b7fe8728a68e1f6edd4d48d729ec9,2000-06-26T03:24:57.005Z,25,2017-12-16T17:06:48.221Z,8,CPR,2506100-2172,https://randomuser.me/api/portraits/men/81.jpg,https://randomuser.me/api/portraits/med/men/81.jpg,https://randomuser.me/api/portraits/thumb/men/81.jpg
male,aurelio.arguello@example.com,(646) 511 0888,(651) 246 9109,MX,Mr,Aurelio,Arguello,6413,Eje vial Rincón,Juan Lucas,Morelos,Mexico,95404,47.7142,-35.7933,+2:00,"Kaliningrad, South Africa",d73f8dcb-528b-4a29-b7a5-be8f25b19e69,smalldog151,snoopy,WHoOiMUU,9b7420ea8723ea19529d7b3090b4dbbb,384604d617045dd406449e5c71209d74eb3545fa,67bec13dbf954894f81b37fb5e2f6d9a3f80c04e21c543177af42f757ef9bd33,1997-11-27T00:58:18.222Z,28,2021-09-02T05:29:42.186Z,4,NSS,55 80 43 5760 2,https://randomuser.me/api/portraits/men/88.jpg,https://randomuser.me/api/portraits/med/men/88.jpg,https://randomuser.me/api/portraits/thumb/men/88.jpg
male,connor.li@example.com,(568)-314-7903,(680)-812-8162,NZ,Mr,Connor,Li,9484,Riverside Drive,New Plymouth,Tasman,New Zealand,61106,50.8582,-141.6233,+1:00,"Brussels, Copenhagen, Madrid, Paris",a9d83f8b-a456-4806-831a-58c8cefe893e,crazypanda177,command,O5Ex4sl5,2d5cec92a2e6773d3fb632b4ebdcaeaa,bccba89b339b264bb32838e133c02a09d927e370,edca63502a616de40ae3f77c30186ce3c5f5c2d6e91f2da98ed0b2a2ffd102d9,1973-05-22T13:47:56.970Z,52,2013-01-03T00:51:27.468Z,13,,,https://randomuser.me/api/portraits/men/86.jpg,https://randomuser.me/api/portraits/med/men/86.jpg,https://randomuser.me/api/portraits/thumb/men/86.jpg
female,victoria.naranjo@example.com,(662) 936 2486,(618) 824 6016,MX,Mrs,Victoria,Naranjo,6958,Periférico Coronado,Casa de Janos,Morelos,Mexico,28843,-14.9814,21.7656,-2:00,Mid-Atlantic,fbfcf352-3355-41a8-b348-0d99018d9205,redbutterfly556,leng,aCvyStZZ,e45ad25e3bf4bf468e6ebe1f29f0a2b5,43aea394d2c46b8d19fd4afa0b37af317b5598a7,fcbbe239f792ac9cd3a614e3779a3f361382b2355fccc168747c9af896ce8424,1990-09-16T22:01:49.572Z,35,2008-03-30T11:29:15.720Z,17,NSS,85 96 70 0655 7,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg
female,concepcion.bahena@example.com,(691) 043 1127,(608) 884 6955,MX,Mrs,Concepción,Bahena,4874,Peatonal Garza,Chicomuselo,Campeche,Mexico,94413,-5.902,59.9668,-8:00,Pacific Time (US & Canada),a100e062-d80e-49d4-82cb-d349cac0d3b2,goldencat862,diamond,94ivzafe,36a7d14f8c14fcad7a590e92924e508d,8df6e71dffc4dd48bf55527e01a4b73e79da6da6,7795b0713cc15e256cc8c4d97533fd2654109fa363d586896c26a5402021dd96,1969-01-16T13:49:35.434Z,57,2008-02-11T09:25:59.020Z,17,NSS,17 94 92 4699 6,https://randomuser.me/api/portraits/women/21.jpg,https://randomuser.me/api/portraits/med/women/21.jpg,https://randomuser.me/api/portraits/thumb/women/21.jpg
male,frieder.reineke@example.com,0977-5231873,0176-5757938,DE,Mr,Frieder,Reineke,7437,Mühlenweg,Dömitz,Sachsen,Germany,36797,-82.4471,162.1305,-2:00,Mid-Atlantic,97581264-e0b6-4060-8830-b83b65754785,goldenmeercat455,pippo,bz67gYc2,e104d80b7a9714fc4cdf8547950d1458,995854f497c0a1a95dfa220ef944d08b6db83511,744776e35a013483b5ab163331f13b426eb06496f48194f550effd8d5e8b49ec,1952-04-22T11:21:25.962Z,73,2004-03-12T13:18:20.831Z,21,SVNR,39 220452 R 344,https://randomuser.me/api/portraits/men/63.jpg,https://randomuser.me/api/portraits/med/men/63.jpg,https://randomuser.me/api/portraits/thumb/men/63.jpg
female,avery.hughes@example.com,015242 85190,07500 976085,GB,Ms,Avery,Hughes,3593,Grove Road,Worcester,Dorset,United Kingdom,J0O 0UT,5.0841,5.2266,+9:00,"Tokyo, Seoul, Osaka, Sapporo, Yakutsk",0cee9d65-8d16-49df-9909-430a1ef3bcec,smallgorilla352,mandrake,ALjx9PLc,cd11b0c2a0913d3d896fec7bbb6f4143,e4fda693ada8291304a3f2ae52a05697215df1fb,9549e507b4a16e2533193f113a3692eb696b46a6105841dcc43dc47a07902f0d,1980-10-25T15:05:24.317Z,45,2004-11-20T10:30:48.085Z,21,NINO,CM 07 01 50 Z,https://randomuser.me/api/portraits/women/52.jpg,https://randomuser.me/api/portraits/med/women/52.jpg,https://randomuser.me/api/portraits/thumb/women/52.jpg
female,grace.morrison@example.com,027 6041 5157,07659 964317,GB,Ms,Grace,Morrison,6605,Mill Lane,Bradford,Warwickshire,United Kingdom,DI9Q 4RT,-21.4279,27.4993,+7:00,"Bangkok, Hanoi, Jakarta",9d2f28ba-1fcd-4bca-863c-f3a67346b32b,purplebutterfly563,cards,a9tywsaP,468d4bb749a9b39cb3e359c88c244d8b,0e626a21d193da8702305b6aa83875d7292005bb,30c55fa6f4e3d30636a762a0a5b20ee47328b97962932407f3452eb1e8ac5eaa,1982-09-20T13:22:13.939Z,43,2006-03-12T05:12:03.000Z,19,NINO,CG 70 49 38 M,https://randomuser.me/api/portraits/women/10.jpg,https://randomuser.me/api/portraits/med/women/10.jpg,https://randomuser.me/api/portraits/thumb/women/10.jpg
